Account,classification,total_pnl,avg_trade_size,trade_count,win_rate,total_fees
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,11415.247787,2477.321696428571,112,68.75,91.484217
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,90895.05041,3409.7221921515566,1478,48.78213802435724,1531.742448
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,3979.190772,1534.1833595800524,381,43.30708661417323,171.61459
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,20075.672949,4041.240158102767,253,54.1501976284585,333.813676
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,42292.843076,3194.968620689655,1015,57.536945812807886,979.541791
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Fear,-56967.825773000004,1620.1930798479086,263,11.02661596958175,41.722011
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,30992.181771,2791.594658385093,161,45.962732919254655,24.25606888
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,-467.058896,1320.9939453125,256,67.96875,48.742691
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,-3531.989984,1532.4567647058823,102,72.54901960784314,29.548333500000002
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,-1228.907104,1207.8618181818183,33,60.60606060606061,2.805659
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Fear,-76179.494853,4041.219688249401,1668,30.215827338129497,626.96220466
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,14406.384865,4752.3967826086955,115,49.56521739130435,86.29597369
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,54685.021109,4219.732807613868,1471,32.22297756628144,489.815443
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,10591.760255,11643.763492063492,63,44.44444444444444,94.18151972
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,10953.24796,10901.87974264706,272,41.544117647058826,161.401985
